State,PC No,Constituency,Sl no,Candidate,Party,EVM Votes,Postal Votes,Total Votes,Vote Share
ANDHRA PRADESH,1,ARAKU (ST),1,GUMMA THANUJA RANI,YUVAJANA SRAMIKA RYTHU CONGRESS PARTY,471470,5535,477005,40.96
ANDHRA PRADESH,1,ARAKU (ST),2,KOTHAPALLI GEETHA,BHARATIYA JANATA PARTY,417113,9312,426425,36.62
ANDHRA PRADESH,1,ARAKU (ST),3,APPALANARASA PACHIPENTA,COMMUNIST PARTY OF INDIA  (MARXIST),119016,4113,123129,10.57
ANDHRA PRADESH,1,ARAKU (ST),4,AVASHYA LAHARI . VARAM,BAHUJAN SAMAJ PARTY,24858,892,25750,2.21
ANDHRA PRADESH,1,ARAKU (ST),5,SAMAREDDY BALAKRISHNA,INDEPENDENT,9493,42,9535,0.82
ANDHRA PRADESH,1,ARAKU (ST),6,NIMMAKA JAYARAJU,INDEPENDENT,8798,664,9462,0.81
ANDHRA PRADESH,1,ARAKU (ST),7,ATHIDHI,INDEPENDENT,8121,15,8136,0.7
ANDHRA PRADESH,1,ARAKU (ST),8,CHANTI BADNAINA,JAI BHARAT NATIONAL PARTY,7205,47,7252,0.62
ANDHRA PRADESH,1,ARAKU (ST),9,MOTTADAM . RAJABABU,BHARAT ADIVASI PARTY,6370,396,6766,0.58
ANDHRA PRADESH,1,ARAKU (ST),10,RANJITH KUMAR PALAKA,INDEPENDENT,6000,47,6047,0.52
ANDHRA PRADESH,1,ARAKU (ST),11,RAMBABU JALLI,TELUGU RAJADHIKARA SAMITI PARTY,4933,26,4959,0.43
ANDHRA PRADESH,1,ARAKU (ST),12,MANDALA GIRIDHARA RAO,INDEPENDENT,4931,36,4967,0.43
ANDHRA PRADESH,1,ARAKU (ST),13,VUYAKA NIREEKSHAN  (V. CHENCHU),INDIA PRAJA BANDHU PARTY,4500,42,4542,0.39
ANDHRA PRADESH,1,ARAKU (ST),14,NOTA,NONE OF THE ABOVE,50205,265,50470,4.33
ANDHRA PRADESH,2,SRIKAKULAM,1,KINJARAPU RAMMOHAN NAIDU,TELUGU DESAM,734501,19827,754328,61.05
ANDHRA PRADESH,2,SRIKAKULAM,2,TILAK PERADA,YUVAJANA SRAMIKA RYTHU CONGRESS PARTY,420394,6033,426427,34.51
ANDHRA PRADESH,2,SRIKAKULAM,3,PEDADA PARAMESWARA RAO,INDIAN NATIONAL CONGRESS,6724,448,7172,0.58
ANDHRA PRADESH,2,SRIKAKULAM,4,SANAPALA SRAVAN KUMAR,INDEPENDENT,5950,8,5958,0.48
ANDHRA PRADESH,2,SRIKAKULAM,5,NAIDUGARI RAJASEKHAR,BAHUJAN SAMAJ PARTY,4661,81,4742,0.38
ANDHRA PRADESH,2,SRIKAKULAM,6,VABA YOGESWARA RAO,INDEPENDENT,3472,126,3598,0.29
ANDHRA PRADESH,2,SRIKAKULAM,7,BETHA VIVEKANANDA MAHARAJ,INDEPENDENT,2523,13,2536,0.21
ANDHRA PRADESH,2,SRIKAKULAM,8,YEDDU LAKSHMINARAYANA,INDEPENDENT,1598,7,1605,0.13
ANDHRA PRADESH,2,SRIKAKULAM,9,BORUBADRA CHANDRAKALA,BHARATHA CHAITANYA YUVAJANA PARTY,1315,42,1357,0.11
ANDHRA PRADESH,2,SRIKAKULAM,10,IPPILI SEETHARAJU,JAI BHARAT NATIONAL PARTY,1080,50,1130,0.09
ANDHRA PRADESH,2,SRIKAKULAM,11,KAYA DURGARAO,NAVARANG CONGRESS PARTY,811,7,818,0.07
ANDHRA PRADESH,2,SRIKAKULAM,12,CHELLURI DANIYAL,INDEPENDENT,796,20,816,0.07
ANDHRA PRADESH,2,SRIKAKULAM,13,BOMMALI TIRUPATI RAO,PYRAMID PARTY OF INDIA,589,5,594,0.05
ANDHRA PRADESH,2,SRIKAKULAM,14,NOTA,NONE OF THE ABOVE,24498,107,24605,1.99
ANDHRA PRADESH,3,VIZIANAGARAM,1,APPALANAIDU KALISETTI,TELUGU DESAM,729284,13829,743113,57.2
ANDHRA PRADESH,3,VIZIANAGARAM,2,BELLANA CHANDRASEKHAR,YUVAJANA SRAMIKA RYTHU CONGRESS PARTY,487691,6071,493762,38
ANDHRA PRADESH,3,VIZIANAGARAM,3,BOBBILI SRINU,INDIAN NATIONAL CONGRESS,10270,353,10623,0.82
ANDHRA PRADESH,3,VIZIANAGARAM,4,PEERUBANDI PRAKASH RAO,BAHUJAN SAMAJ PARTY,7985,53,8038,0.62
ANDHRA PRADESH,3,VIZIANAGARAM,5,VELURI VENKATA TRINADHARAO,INDEPENDENT,4146,6,4152,0.32
ANDHRA PRADESH,3,VIZIANAGARAM,6,ALLU SRIRAMULU,INDEPENDENT,3396,5,3401,0.26
ANDHRA PRADESH,3,VIZIANAGARAM,7,SIYYADULA YELLA RAO,INDEPENDENT,3105,2,3107,0.24
ANDHRA PRADESH,3,VIZIANAGARAM,8,SRINIVASA RAO SAMBHANA,YUGA THULASI PARTY,1758,3,1761,0.14
ANDHRA PRADESH,3,VIZIANAGARAM,9,MARISERLA KRISHNAMURTHY NAIDU,INDEPENDENT,1617,12,1629,0.13
ANDHRA PRADESH,3,VIZIANAGARAM,10,VANGAPANDU MAHESWARA RAO,NABA BHARATA NIRMANA SEVA PARTY,1544,9,1553,0.12
ANDHRA PRADESH,3,VIZIANAGARAM,11,CHINNAM ARUNA KUMAR,JAIBHIM RAO BHARAT PARTY,1401,10,1411,0.11
ANDHRA PRADESH,3,VIZIANAGARAM,12,ATCHIYYA NAIDU SAMIREDDY,SAMAJWADI PARTY,1059,11,1070,0.08
ANDHRA PRADESH,3,VIZIANAGARAM,13,ADINARAYANA TADDI,INDEPENDENT,855,1,856,0.07
ANDHRA PRADESH,3,VIZIANAGARAM,14,P V A ANANDA SAGAR,INDEPENDENT,787,4,791,0.06
ANDHRA PRADESH,3,VIZIANAGARAM,15,SAKHINETI ANANTHA RAJU,PYRAMID PARTY OF INDIA,715,10,725,0.06
ANDHRA PRADESH,3,VIZIANAGARAM,16,NOTA,NONE OF THE ABOVE,23097,153,23250,1.79
ANDHRA PRADESH,4,VISAKHAPATNAM,1,SRIBHARAT MATHUKUMILI,TELUGU DESAM,893884,13583,907467,65.42
ANDHRA PRADESH,4,VISAKHAPATNAM,2,JHANSI LAKSHMI. BOTCHA.,YUVAJANA SRAMIKA RYTHU CONGRESS PARTY,397821,5399,403220,29.07
ANDHRA PRADESH,4,VISAKHAPATNAM,3,P. SATYA REDDY,INDIAN NATIONAL CONGRESS,29430,837,30267,2.18
ANDHRA PRADESH,4,VISAKHAPATNAM,4,K.A. PAUL,PRAJA SHANTHI PARTY,7529,167,7696,0.55
ANDHRA PRADESH,4,VISAKHAPATNAM,5,PEDAPENKI SIVA PRASADA RAO,BAHUJAN SAMAJ PARTY,6006,85,6091,0.44
ANDHRA PRADESH,4,VISAKHAPATNAM,6,BIKKAVOLU. CHALAMAJI,NAVARANG CONGRESS PARTY,4883,1,4884,0.35
ANDHRA PRADESH,4,VISAKHAPATNAM,7,V.N. SATYA NARAYANA,RASHTRIYA PRAJA CONGRESS  (SECULAR),2534,3,2537,0.18
ANDHRA PRADESH,4,VISAKHAPATNAM,8,ARUNA SRI MURALA,INDEPENDENT,1991,2,1993,0.14
ANDHRA PRADESH,4,VISAKHAPATNAM,9,VASUPILLI SURESH,INDEPENDENT,1931,2,1933,0.14
ANDHRA PRADESH,4,VISAKHAPATNAM,10,SONDI KRISHNA.,INDEPENDENT,1811,7,1818,0.13
ANDHRA PRADESH,4,VISAKHAPATNAM,11,ANDUKURI VIJAYA BHASKAR,INDIA PRAJA BANDHU PARTY,1098,11,1109,0.08
ANDHRA PRADESH,4,VISAKHAPATNAM,12,DR. GANAPATHI KONGARAPU.,REPUBLICAN PARTY OF INDIA (A),944,6,950,0.07
ANDHRA PRADESH,4,VISAKHAPATNAM,13,BANNA. RAMESH,DALITA BAHUJANA PARTY,941,7,948,0.07
ANDHRA PRADESH,4,VISAKHAPATNAM,14,P. SATYA VANI,PYRAMID PARTY OF INDIA,875,7,882,0.06
ANDHRA PRADESH,4,VISAKHAPATNAM,15,DURGA PRASAD. GUNTU,BHARTIYA RASHTRIYA DAL,760,7,767,0.06
ANDHRA PRADESH,4,VISAKHAPATNAM,16,CHAPPIDI RAMU,INDEPENDENT,756,1,757,0.05
ANDHRA PRADESH,4,VISAKHAPATNAM,17,M.G.M. KHAN,INDEPENDENT,738,4,742,0.05
ANDHRA PRADESH,4,VISAKHAPATNAM,18,SHANKAR DEVARA YADAV,INDEPENDENT,656,5,661,0.05
ANDHRA PRADESH,4,VISAKHAPATNAM,19,VENU MADHAV KARRI,INDEPENDENT,646,1,647,0.05
ANDHRA PRADESH,4,VISAKHAPATNAM,20,DR. ACHUTHA BALAJI YADAV (MURAPALA),BHARATHA CHAITANYA YUVAJANA PARTY,628,10,638,0.05
ANDHRA PRADESH,4,VISAKHAPATNAM,21,THOTA VENKATA SAI MUKUND,PRAJA PRASTHANAM PARTY,628,5,633,0.05
ANDHRA PRADESH,4,VISAKHAPATNAM,22,PIDIDHI APPARAO,INDEPENDENT,576,4,580,0.04
ANDHRA PRADESH,4,VISAKHAPATNAM,23,G.A.N. ANAND,INDEPENDENT,543,0,543,0.04
ANDHRA PRADESH,4,VISAKHAPATNAM,24,VADDI. HARI GANESH,INDEPENDENT,518,2,520,0.04
ANDHRA PRADESH,4,VISAKHAPATNAM,25,JANARDHAN PONNADA.,INDEPENDENT,499,1,500,0.04
ANDHRA PRADESH,4,VISAKHAPATNAM,26,GANAPATHI. JAGADEESWARA RAO (JAGADEESH),JAI MAHA BHARATH PARTY,494,6,500,0.04
ANDHRA PRADESH,4,VISAKHAPATNAM,27,JALADI VIJAYA KUMARI,SAMAJWADI PARTY,463,3,466,0.03
ANDHRA PRADESH,4,VISAKHAPATNAM,28,CHINTADA SURYAM,NABA BHARATA NIRMANA SEVA PARTY,443,5,448,0.03
ANDHRA PRADESH,4,VISAKHAPATNAM,29,GANDIKOTA RAJESH,NAVATARAM PARTY,392,1,393,0.03
ANDHRA PRADESH,4,VISAKHAPATNAM,30,KOLLI NAGA RAJU,INDEPENDENT,322,7,329,0.02
ANDHRA PRADESH,4,VISAKHAPATNAM,31,METTA RAMA RAO,INDEPENDENT,320,6,326,0.02
ANDHRA PRADESH,4,VISAKHAPATNAM,32,LAGUDU. GOVINDA RAO,INDEPENDENT,293,1,294,0.02
ANDHRA PRADESH,4,VISAKHAPATNAM,33,MALLA SRAVANI,INDEPENDENT,271,2,273,0.02
ANDHRA PRADESH,4,VISAKHAPATNAM,34,NOTA,NONE OF THE ABOVE,5171,142,5313,0.38
ANDHRA PRADESH,5,ANAKAPALLE,1,C.M.RAMESH,BHARATIYA JANATA PARTY,750027,12042,762069,57.5
ANDHRA PRADESH,5,ANAKAPALLE,2,BUDI MUTYALA NAIDU,YUVAJANA SRAMIKA RYTHU CONGRESS PARTY,459762,5777,465539,35.13
ANDHRA PRADESH,5,ANAKAPALLE,3,VEGI VENKATESH,INDIAN NATIONAL CONGRESS,24833,818,25651,1.94
ANDHRA PRADESH,5,ANAKAPALLE,4,PALAKA SREERAMA MURTHY,BAHUJAN SAMAJ PARTY,19082,75,19157,1.45
ANDHRA PRADESH,5,ANAKAPALLE,5,VANKAYALA RAMACHANDRA RAO,INDEPENDENT,4001,1,4002,0.3
ANDHRA PRADESH,5,ANAKAPALLE,6,LOVARAJU SIDDHA,INDEPENDENT,3845,7,3852,0.29
ANDHRA PRADESH,5,ANAKAPALLE,7,KRISHNA SWAROOP VADLAMURI,DALITA BAHUJANA PARTY,3549,8,3557,0.27
ANDHRA PRADESH,5,ANAKAPALLE,8,GARA SURYA RAO,INDEPENDENT,3116,8,3124,0.24
ANDHRA PRADESH,5,ANAKAPALLE,9,APPALA RAJU NAMMI,BHARATHA CHAITANYA YUVAJANA PARTY,2589,30,2619,0.2
ANDHRA PRADESH,5,ANAKAPALLE,10,NAGESWARA RAO PETLA,INDEPENDENT,2179,5,2184,0.16
ANDHRA PRADESH,5,ANAKAPALLE,11,ADARI SARAT CHANDRA,JAI BHARAT NATIONAL PARTY,1886,27,1913,0.14
ANDHRA PRADESH,5,ANAKAPALLE,12,VIJAYA LAKSHMI KARRI,PYRAMID PARTY OF INDIA,1578,13,1591,0.12
ANDHRA PRADESH,5,ANAKAPALLE,13,DR. THUMMAPALA HARI  SHANKAR,INDEPENDENT,1567,9,1576,0.12
ANDHRA PRADESH,5,ANAKAPALLE,14,JUNNURI J SRINIVAS,INDEPENDENT,1195,6,1201,0.09
ANDHRA PRADESH,5,ANAKAPALLE,15,APPALANAIDU TUMMAGUNTA,INDEPENDENT,1055,7,1062,0.08
ANDHRA PRADESH,5,ANAKAPALLE,16,NOTA,NONE OF THE ABOVE,26084,151,26235,1.98
ANDHRA PRADESH,6,KAKINADA,1,TANGELLA UDAY SRINIVAS  (TEA TIME UDAY),JANASENA PARTY,718971,10728,729699,54.87
ANDHRA PRADESH,6,KAKINADA,2,CHALAMALASETTY SUNIL,YUVAJANA SRAMIKA RYTHU CONGRESS PARTY,495188,5020,500208,37.62
ANDHRA PRADESH,6,KAKINADA,3,MALLIPUDI MANGAPATI PALLAM RAJU,INDIAN NATIONAL CONGRESS,20258,851,21109,1.59
ANDHRA PRADESH,6,KAKINADA,4,UDAY,NAVARANG CONGRESS PARTY,15578,125,15703,1.18
ANDHRA PRADESH,6,KAKINADA,5,KANDREGULA NARASIMHAM,BAHUJAN SAMAJ PARTY,11916,63,11979,0.9
ANDHRA PRADESH,6,KAKINADA,6,DR ANUSHA YADAV,BHARATHA CHAITANYA YUVAJANA PARTY,9818,36,9854,0.74
ANDHRA PRADESH,6,KAKINADA,7,TANGELLA SRINIVASU,JATIYA JANA SENA PARTY,6516,43,6559,0.49
ANDHRA PRADESH,6,KAKINADA,8,YEDIDA VARA PRASAD KUMAR,REPUBLICAN PARTY OF INDIA (A),3924,3,3927,0.3
ANDHRA PRADESH,6,KAKINADA,9,BUGATHA BANGARRAO,COMMUNIST PARTY OF INDIA  (MARXIST-LENINIST)  (LIBERATION),2816,7,2823,0.21
ANDHRA PRADESH,6,KAKINADA,10,SUDHA VEERA GANESH,INDEPENDENT,2645,2,2647,0.2
ANDHRA PRADESH,6,KAKINADA,11,BHAVANI SANKAR PRASAD MERLA,INDEPENDENT,1963,6,1969,0.15
ANDHRA PRADESH,6,KAKINADA,12,YENUGUPALLI KRISHNA,JAIBHIM RAO BHARAT PARTY,1762,18,1780,0.13
ANDHRA PRADESH,6,KAKINADA,13,BODDETI APPARAO,INDEPENDENT,1687,0,1687,0.13
ANDHRA PRADESH,6,KAKINADA,14,NEELAKANTAM DONAM,INDEPENDENT,1401,11,1412,0.11
ANDHRA PRADESH,6,KAKINADA,15,PASUPULETI S.V.S.BHUSHANAM,INDEPENDENT,1222,5,1227,0.09
ANDHRA PRADESH,6,KAKINADA,16,NOTA,NONE OF THE ABOVE,17105,115,17220,1.29
ANDHRA PRADESH,7,AMALAPURAM (SC),1,G M HARISH (BALAYOGI),TELUGU DESAM,786149,10832,796981,61.25
ANDHRA PRADESH,7,AMALAPURAM (SC),2,RAPAKA VARAPRASADA RAO,YUVAJANA SRAMIKA RYTHU CONGRESS PARTY,450362,4423,454785,34.95
ANDHRA PRADESH,7,AMALAPURAM (SC),3,GOUTHAM JANGA,INDIAN NATIONAL CONGRESS,14523,559,15082,1.16
ANDHRA PRADESH,7,AMALAPURAM (SC),4,DORABABU YALLA,BAHUJAN SAMAJ PARTY,5202,186,5388,0.41
ANDHRA PRADESH,7,AMALAPURAM (SC),5,KATRU NAGA BABU,TELUGU NAVA GARJANA PARTY,3736,5,3741,0.29
ANDHRA PRADESH,7,AMALAPURAM (SC),6,VADDI LALITH KUMAR,INDEPENDENT,2974,3,2977,0.23
ANDHRA PRADESH,7,AMALAPURAM (SC),7,MAKEY DAVY PRASAD,INDEPENDENT,2104,7,2111,0.16
ANDHRA PRADESH,7,AMALAPURAM (SC),8,GUDE VENKATESWARULU,INDEPENDENT,1741,4,1745,0.13
ANDHRA PRADESH,7,AMALAPURAM (SC),9,RAMESH JILLELLA,JATIYA JANA SENA PARTY,866,6,872,0.07
ANDHRA PRADESH,7,AMALAPURAM (SC),10,YALANGI RAMESH,JAIBHIM RAO BHARAT PARTY,738,2,740,0.06
ANDHRA PRADESH,7,AMALAPURAM (SC),11,MATHA KRISHNA,PYRAMID PARTY OF INDIA,718,1,719,0.06
ANDHRA PRADESH,7,AMALAPURAM (SC),12,GIDDI JNANA PRAKASA RAO,REPUBLICAN PARTY OF INDIA,717,9,726,0.06
ANDHRA PRADESH,7,AMALAPURAM (SC),13,YADLA RAJESH,LIBERATION CONGRESS PARTY,628,7,635,0.05
ANDHRA PRADESH,7,AMALAPURAM (SC),14,KAPA KALYAN,REPUBLICAN PARTY OF INDIA (A),579,2,581,0.04
ANDHRA PRADESH,7,AMALAPURAM (SC),15,PATHURI RAMESH,PEOPLES PARTY OF INDIA (DEMOCRATIC),502,3,505,0.04
ANDHRA PRADESH,7,AMALAPURAM (SC),16,NOTA,NONE OF THE ABOVE,13418,100,13518,1.04
ANDHRA PRADESH,8,RAJAHMUNDRY,1,DAGGUBATI PURANDHESHWARI,BHARATIYA JANATA PARTY,718641,7874,726515,54.82
ANDHRA PRADESH,8,RAJAHMUNDRY,2,DR. GUDURI SRINIVAS,YUVAJANA SRAMIKA RYTHU CONGRESS PARTY,483172,4204,487376,36.77
ANDHRA PRADESH,8,RAJAHMUNDRY,3,GIDUGU RUDRARAJU,INDIAN NATIONAL CONGRESS,31441,1067,32508,2.45
ANDHRA PRADESH,8,RAJAHMUNDRY,4,GANESWARA RAO PARAMATA,BAHUJAN SAMAJ PARTY,20277,132,20409,1.54
ANDHRA PRADESH,8,RAJAHMUNDRY,5,BATTULA BALARAMAKRISHNA,NAVARANG CONGRESS PARTY,16930,78,17008,1.28
ANDHRA PRADESH,8,RAJAHMUNDRY,6,SALOPANTULA RAGHAVENDRA RAO,INDEPENDENT,3261,17,3278,0.25
ANDHRA PRADESH,8,RAJAHMUNDRY,7,DR. MEDISI RATNARAO ALIAS VINAY,INDEPENDENT,3109,6,3115,0.24
ANDHRA PRADESH,8,RAJAHMUNDRY,8,MOHANARAO SINGULURI,JAI BHARAT NATIONAL PARTY,2818,15,2833,0.21
ANDHRA PRADESH,8,RAJAHMUNDRY,9,MEDA SRINIVASA RAO,RASHTRIYA PRAJA CONGRESS  (SECULAR),2422,7,2429,0.18
ANDHRA PRADESH,8,RAJAHMUNDRY,10,BOMMANABOINA VSR MURTHY,INDEPENDENT,2173,6,2179,0.16
ANDHRA PRADESH,8,RAJAHMUNDRY,11,BHANU CHANDAR KURUVELLA,INDEPENDENT,1955,3,1958,0.15
ANDHRA PRADESH,8,RAJAHMUNDRY,12,JALLI BALA NAVEENA,INDEPENDENT,1250,4,1254,0.09
ANDHRA PRADESH,8,RAJAHMUNDRY,13,NOTA,NONE OF THE ABOVE,24302,133,24435,1.84
ANDHRA PRADESH,9,NARSAPURAM,1,BHUPATHI RAJU SRINIVASA VARMA (B.J.P.VARMA),BHARATIYA JANATA PARTY,699382,7961,707343,57.46
ANDHRA PRADESH,9,NARSAPURAM,2,UMABALA GUDURI,YUVAJANA SRAMIKA RYTHU CONGRESS PARTY,426037,4504,430541,34.98
ANDHRA PRADESH,9,NARSAPURAM,3,K.B.R.NAIDU,INDIAN NATIONAL CONGRESS,34298,915,35213,2.86
ANDHRA PRADESH,9,NARSAPURAM,4,PRASANNA KUMAR UNDURTHI,INDEPENDENT,6350,14,6364,0.52
ANDHRA PRADESH,9,NARSAPURAM,5,MEDAPATI VENKATA VARAHALA REDDY,INDEPENDENT,5966,3,5969,0.48
ANDHRA PRADESH,9,NARSAPURAM,6,SIRRA RAJU,BAHUJAN SAMAJ PARTY,5945,69,6014,0.49
ANDHRA PRADESH,9,NARSAPURAM,7,BALAGAM NAYAKAR,INDEPENDENT,5232,8,5240,0.43
ANDHRA PRADESH,9,NARSAPURAM,8,NALLI RAJESH,INDEPENDENT,4684,0,4684,0.38
ANDHRA PRADESH,9,NARSAPURAM,9,KETHA SREENU,INDEPENDENT,3140,5,3145,0.26
ANDHRA PRADESH,9,NARSAPURAM,10,OLETY NAGENDRA KRISHNA,JAIBHIM RAO BHARAT PARTY,3112,4,3116,0.25
ANDHRA PRADESH,9,NARSAPURAM,11,ADDEPALLI VEERA VENKAT SUBBA RAO,INDEPENDENT,2781,2,2783,0.23
ANDHRA PRADESH,9,NARSAPURAM,12,ANAND CHANDULAL JASTI,INDEPENDENT,2726,0,2726,0.22
ANDHRA PRADESH,9,NARSAPURAM,13,GANJI PURNIMA,REPUBLICAN PARTY OF INDIA (A),1645,4,1649,0.13
ANDHRA PRADESH,9,NARSAPURAM,14,GEDALA LAXMANA RAO,INDEPENDENT,1525,2,1527,0.12
ANDHRA PRADESH,9,NARSAPURAM,15,ADDANKI DORABABU,INDEPENDENT,1388,5,1393,0.11
ANDHRA PRADESH,9,NARSAPURAM,16,GOTTUMUKKALA SHIVAJI,INDEPENDENT,1378,6,1384,0.11
ANDHRA PRADESH,9,NARSAPURAM,17,ADINARAYANA DUPPANAPUDI,INDEPENDENT,1002,5,1007,0.08
ANDHRA PRADESH,9,NARSAPURAM,18,MANNE LEELA RAMA NARENDRA,PYRAMID PARTY OF INDIA,922,8,930,0.08
ANDHRA PRADESH,9,NARSAPURAM,19,RAMA DURGA PRASAD THOLETI,INDEPENDENT,919,1,920,0.07
ANDHRA PRADESH,9,NARSAPURAM,20,RUKHMINI,INDEPENDENT,683,3,686,0.06
ANDHRA PRADESH,9,NARSAPURAM,21,ADABALA SIVA,INDEPENDENT,682,1,683,0.06
ANDHRA PRADESH,9,NARSAPURAM,22,NOTA,NONE OF THE ABOVE,7554,123,7677,0.62
ANDHRA PRADESH,10,ELURU,1,PUTTA MAHESH KUMAR,TELUGU DESAM,737644,8707,746351,54
ANDHRA PRADESH,10,ELURU,2,KARUMURI SUNIL KUMAR,YUVAJANA SRAMIKA RYTHU CONGRESS PARTY,559318,5176,564494,40.84
ANDHRA PRADESH,10,ELURU,3,KAVURI LAVANYA,INDIAN NATIONAL CONGRESS,19820,1006,20826,1.51
ANDHRA PRADESH,10,ELURU,4,AJAY BABU BODA,NAVARANG CONGRESS PARTY,12197,13,12210,0.88
ANDHRA PRADESH,10,ELURU,5,NITTA AKHILA DHARANI PAL,BAHUJAN SAMAJ PARTY,6664,68,6732,0.49
ANDHRA PRADESH,10,ELURU,6,BOKINALA KOTESWARA RAO,INDEPENDENT,2253,10,2263,0.16
ANDHRA PRADESH,10,ELURU,7,RUDRAPAKA RATNA RAO (R.R.R),ANDHRA RASTRA PRAJA SAMITHI,1523,3,1526,0.11
ANDHRA PRADESH,10,ELURU,8,KANDAVALLI JEEVA DEVA DAYAKAR,INDEPENDENT,1172,8,1180,0.09
ANDHRA PRADESH,10,ELURU,9,AGASTEEN KOMMINA,INDEPENDENT,1001,3,1004,0.07
ANDHRA PRADESH,10,ELURU,10,DR. MENDEM SANTHOSH KUMAR (PEDDA BABULU),LIBERATION CONGRESS PARTY,777,9,786,0.06
ANDHRA PRADESH,10,ELURU,11,RAJESWARA RAO KONDRU,BHARATHEEYA JAWAN KISAN PARTY,729,3,732,0.05
ANDHRA PRADESH,10,ELURU,12,GODUGUPATI VEERA RAGHAVULU,PYRAMID PARTY OF INDIA,710,5,715,0.05
ANDHRA PRADESH,10,ELURU,13,BYRABOYINA MALYADRI,BHARATHA CHAITANYA YUVAJANA PARTY,705,10,715,0.05
ANDHRA PRADESH,10,ELURU,14,NOTA,NONE OF THE ABOVE,22371,144,22515,1.63
ANDHRA PRADESH,11,MACHILIPATNAM,1,BALASHOWRY VALLABHANENI,JANASENA PARTY,712149,12290,724439,55.22
ANDHRA PRADESH,11,MACHILIPATNAM,2,SIMHADRI CHANDRA SEKHAR RAO,YUVAJANA SRAMIKA RYTHU CONGRESS PARTY,495211,6049,501260,38.21
ANDHRA PRADESH,11,MACHILIPATNAM,3,GOLLU KRISHNA,INDIAN NATIONAL CONGRESS,31130,695,31825,2.43
ANDHRA PRADESH,11,MACHILIPATNAM,4,BAAL SHOURI CHODABATHINA,JATIYA JANA SENA PARTY,10518,623,11141,0.85
ANDHRA PRADESH,11,MACHILIPATNAM,5,DEVAMANI DEVARAPALLI,BAHUJAN SAMAJ PARTY,9911,117,10028,0.76
ANDHRA PRADESH,11,MACHILIPATNAM,6,KOMMARAJU SIVA NARASIMHA RAO,ALL INDIA FORWARD BLOC,5245,9,5254,0.4
ANDHRA PRADESH,11,MACHILIPATNAM,7,VALLABHANENI NAGA PAVAN KUMAR,INDEPENDENT,5206,14,5220,0.4
ANDHRA PRADESH,11,MACHILIPATNAM,8,MARADANI K R SWAMY,JAI MAHA BHARATH PARTY,2206,8,2214,0.17
ANDHRA PRADESH,11,MACHILIPATNAM,9,GANDHI  DHANEKULA,INDEPENDENT,1989,2,1991,0.15
ANDHRA PRADESH,11,MACHILIPATNAM,10,PAMULA BALA SOWRYAMMA,INDEPENDENT,1576,6,1582,0.12
ANDHRA PRADESH,11,MACHILIPATNAM,11,ANUSHA YERUVA,INDEPENDENT,1233,2,1235,0.09
ANDHRA PRADESH,11,MACHILIPATNAM,12,GUDAVALLI VENKATA KEDARESWARA RAO,INDEPENDENT,1102,9,1111,0.08
ANDHRA PRADESH,11,MACHILIPATNAM,13,JOGI VEERANJANEYULU,INDEPENDENT,1020,2,1022,0.08
ANDHRA PRADESH,11,MACHILIPATNAM,14,DAMODARA RAO GUDAVALLI,INDEPENDENT,928,2,930,0.07
ANDHRA PRADESH,11,MACHILIPATNAM,15,APPARAO ENNETI,INDEPENDENT,625,1,626,0.05
ANDHRA PRADESH,11,MACHILIPATNAM,16,NOTA,NONE OF THE ABOVE,12008,118,12126,0.92
ANDHRA PRADESH,12,VIJAYAWADA,1,KESINENI SIVANATH (CHINNI),TELUGU DESAM,784722,9432,794154,58.21
ANDHRA PRADESH,12,VIJAYAWADA,2,KESINENI SRINIVAS  (NANI),YUVAJANA SRAMIKA RYTHU CONGRESS PARTY,505637,6432,512069,37.53
ANDHRA PRADESH,12,VIJAYAWADA,3,BHARGAV VALLURU,INDIAN NATIONAL CONGRESS,23498,608,24106,1.77
ANDHRA PRADESH,12,VIJAYAWADA,4,KRISHNA KISHORE YANAMANDRA,NAVATARAM PARTY,7710,168,7878,0.58
ANDHRA PRADESH,12,VIJAYAWADA,5,VENKATA ASHOK PAPPURI,INDEPENDENT,6672,0,6672,0.49
ANDHRA PRADESH,12,VIJAYAWADA,6,DEVARAPALLI MALLIKARJUNA RAO (MAHESH),INDEPENDENT,3199,0,3199,0.23
ANDHRA PRADESH,12,VIJAYAWADA,7,MEKA VENKATESWARA RAO,BAHUJAN SAMAJ PARTY,2184,49,2233,0.16
ANDHRA PRADESH,12,VIJAYAWADA,8,ANIL KUMAR MADDINENI,INDEPENDENT,1240,0,1240,0.09
ANDHRA PRADESH,12,VIJAYAWADA,9,BARRE SREENIVASARAO (JAI BHEEM SRINIVAS),TELUGU RAJADHIKARA SAMITI PARTY,609,6,615,0.05
ANDHRA PRADESH,12,VIJAYAWADA,10,SYED KHAMURUNNISA,NAVARANG CONGRESS PARTY,600,1,601,0.04
ANDHRA PRADESH,12,VIJAYAWADA,11,CHAGANTIPATI GANGADHAR GANDHI,PYRAMID PARTY OF INDIA,486,3,489,0.04
ANDHRA PRADESH,12,VIJAYAWADA,12,DATLA LURTHU MERI,JAIBHIM RAO BHARAT PARTY,409,8,417,0.03
ANDHRA PRADESH,12,VIJAYAWADA,13,PERAM SIVA NAGESWARA RAO,REPUBLICAN PARTY OF INDIA (ATHAWALE),365,3,368,0.03
